,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitching Data for 547888 for game: gid_2017_04_27_nyamlb_bosmlb_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
2017-04-27,170427_232948bos,4a672205-3f58-4106-b679-6a5427c57d72,6,2,547888,434670,10,Single,B,67,3.467,1.589,-10.3213,9.68513,SI,21,0.908,R,1,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,226.8,-1.46163,2,nya,0.0763755361,-129.8111784264,0.3079470499,-9.5565080634,8.0127590914,-10.3213,9.68513,-1.4306230892,55,5.4061201273,5.6508424533,-133.1594265809,-6.0350397498,-16.7956139679,29.3496947632,-18.0965330963,90.97,-0.5415192529,1.247633468,-0.429784,1.15553,1
2017-04-27,170427_233012bos,b1dcbed4-a7e6-4a76-933c-2d5bc8e1a898,6,3,547888,434670,10,Single,B,68,3.467,1.589,-9.71614,5.17808,FS,21,0.853,R,1,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,241.931,-2.50544,2,nya,0.0783541145,-126.655534345,0.314288645,-9.0435999312,3.5998668087,-9.71614,5.17808,-1.4078001929,55,5.4389805706,5.2237888344,-129.5551830392,-6.3452702476,-15.2592332001,24.7640357361,-26.1049578552,88.51,-0.5741435052,0.2728924957,-0.462604,0.175388,11
2017-04-27,170427_233038bos,a7e7fe43-f570-43a9-80d3-27679335ad8f,6,4,547888,434670,10,Single,S,69,3.467,1.589,-5.59237,0.975961,FS,22,0.898,R,1,2,R,gid_2017_04_27_nyamlb_bosmlb_1/,Foul,260.096,-0.897759,2,nya,0.079937026,-124.0960606291,0.3213501902,-4.902340435,-0.6279917683,-5.59237,0.975961,-1.3846963815,55,5.4069907308,4.7205532392,-127.0914427608,-0.9247302382,-7.9121605988,25.0800853119,-33.1925509338,86.72,-0.072585918,1.7749472601,0.0444317,1.685,21
2017-04-27,170427_233105bos,2d4b6d01-9c89-421b-a8a1-aa984087f4cf,6,5,547888,434670,10,Single,S,70,3.467,1.589,-8.51455,5.54509,FS,23,0.883,R,2,2,R,gid_2017_04_27_nyamlb_bosmlb_1/,Foul,236.909,-1.09647,2,nya,0.0785117763,-126.4278992119,0.3145665333,-7.7461315878,3.8885968699,-8.51455,5.54509,-1.4949495613,55,5.4649955585,6.9847072247,-129.2421959809,-3.4396809953,-13.0469376678,23.9843840942,-25.6293719177,88.28,0.3048765009,1.5889410035,0.422337,1.49842,22
2017-04-27,170427_233137bos,55f67bf1-c86d-4f7c-bb4f-108e5ac87746,6,6,547888,434670,10,Single,X,71,3.467,1.589,-0.190199,5.53772,SL,12,0.957,R,2,2,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, no out",181.922,0.135707,2,nya,0.0809814108,-122.5262389535,0.3251131936,0.4108021367,3.7369559035,-0.190199,5.53772,-1.5084535599,55,5.3602931866,3.233515945,-125.3919119588,-0.0223028482,0.6477572088,23.6817450867,-26.2865279083,85.52,-0.0014652694,2.7345547584,0.120782,2.65543,22
2017-04-27,170427_233231bos,1638583e-8f8d-48ed-856f-a8ef63941e4c,1,1,547888,519048,11,Groundout,X,75,3.467,1.589,-8.90618,3.51547,SI,22,0.916,L,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",248.449,-1.14802,2,nya,0.0758460837,-130.8920341196,0.3036307274,-8.2914432823,2.062637729,-8.90618,3.51547,-1.6778182012,55,5.2398064597,7.0206983832,-133.7436172246,-2.9267000245,-14.9895102615,25.1543517456,-28.4501040344,91.34,-0.0534490476,1.5459191788,0.0630166,1.45001,0
2017-04-27,170427_233322bos,9658b5c8-9c07-49d9-b474-d1df2ede2b6c,3,1,547888,593428,12,Flyout,S,80,3.467,1.589,4.89431,-6.83812,CU,13,0.941,R,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,35.565,0.137897,2,nya,0.0926037103,-107.074938927,0.3731476465,5.5448198183,-8.7892077255,4.89431,-6.83812,-1.2696303643,55,5.5367817914,1.8711031815,-109.799859207,5.4154323934,6.6370451813,19.6988845215,-42.699516571,74.97,0.5555290718,2.721434241,0.681234,2.65749,0
2017-04-27,170427_233349bos,5abe1b95-9d74-4cc3-80b9-0202e0d71e6c,3,2,547888,593428,12,Flyout,B,81,3.467,1.589,-7.10198,1.78895,FS,23,0.913,R,1,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,255.855,-1.64026,2,nya,0.0783995329,-126.6506220105,0.3135674998,-6.346335847,0.228884609,-7.10198,1.78895,-1.390317983,55,5.4563860228,6.8608565566,-129.3446798991,-3.3032469312,-10.7574593658,22.9888720856,-31.7910254364,88.34,0.5670062635,1.0840964552,0.686398,0.987792,1
2017-04-27,170427_233427bos,c60f694e-edc5-474a-b57d-fbb72e64eb79,3,3,547888,593428,12,Flyout,X,82,3.467,1.589,-4.19709,8.66412,FF,13,0.917,R,1,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",205.814,0.0537027,2,nya,0.0762854141,-130.1122995692,0.3057133209,-3.6255441073,7.1356377441,-4.19709,8.66412,-1.58218834,55,5.2448724942,5.8586037508,-133.0246706664,-2.0662710503,-6.4653675194,25.5450835571,-19.4541457062,90.8,0.3072984176,2.6640520746,0.428663,2.57843,11
2017-04-27,170427_233526bos,d9f79f64-b7df-42de-b6fe-f949178d5c4e,4,1,547888,598265,13,Groundout,B,86,3.301,1.504,-5.68439,1.59881,FS,24,0.904,L,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,254.283,-0.897776,2,nya,0.0791986697,-125.4203206899,0.3161279871,-4.9323037323,0.0116111781,-5.68439,1.59881,-1.6183819406,55,5.4033205589,8.3794680539,-127.9452406025,-1.563695325,-8.2256962891,21.3242583618,-32.1596358185,87.43,1.2461810698,1.687697824,1.37122,1.59585,0
2017-04-27,170427_233557bos,ac2b7420-f42c-462c-bc0f-603312f26707,4,2,547888,598265,13,Groundout,S,87,3.301,1.504,-9.42788,6.73794,SI,0,0.919,L,0,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,234.429,1.20227,2,nya,0.0750937276,-132.0986177182,0.3018950276,-8.8134625211,5.266559035,-9.42788,6.73794,-1.4193282712,55,5.3434907892,4.9183608129,-135.2908551231,0.3802463039,-16.1169697876,28.452355896,-22.548168457,92.31,-0.7644737763,3.5677897553,-0.653085,3.48274,10
2017-04-27,170427_233620bos,dbe60c17-ff40-404a-82cc-32cfde8331f4,4,3,547888,598265,13,Groundout,S,88,3.301,1.504,0.896902,3.58727,SL,11,0.935,L,1,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Foul,166.001,0.0969239,2,nya,0.0814694933,-121.7479378087,0.3277107993,1.4692407607,1.8106519951,0.896902,3.58727,-1.7854067061,55,5.2290303162,1.796052165,-124.7281573132,0.6814033445,2.2801331644,24.4850955353,-29.3690264587,85.05,-0.7479462448,2.5692689191,-0.627376,2.48959,11
2017-04-27,170427_233708bos,59cd05eb-b543-4565-828c-e42ca3e91d71,4,4,547888,598265,13,Groundout,X,89,3.301,1.504,-6.36442,1.02474,FS,16,0.912,L,2,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",260.849,-0.569055,2,nya,0.0786895972,-126.0924121384,0.315944122,-5.7311615215,-0.5188410021,-6.36442,1.02474,-1.5372021393,55,5.3866924774,5.0110980742,-129.0486060206,-0.6897555892,-9.5690943832,25.1415438995,-33.0452883606,88.06,-0.2639938644,1.982360575,-0.147629,1.8912,12
2017-04-27,170427_234707bos,62dbe981-4f68-4099-abba-c977687ca4df,2,1,547888,506702,18,Groundout,S,122,3.301,1.504,-9.90704,8.47773,SI,15,0.914,L,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,229.425,-0.36494,3,nya,0.0759939397,-130.5904438444,0.3048052636,-9.0504401787,6.7662067589,-9.90704,8.47773,-1.5875689389,55,5.4048378809,4.7895450093,-133.5762268651,-3.5536104016,-16.2357937927,26.2914786682,-20.0409453278,91.17,-1.0046649641,2.1642292194,-0.893931,2.0746,0
2017-04-27,170427_234721bos,1d4f4f65-84e8-4574-bf5b-cdbbd8b3ecd4,2,2,547888,506702,18,Groundout,X,123,3.301,1.504,-7.35368,5.4681,FS,17,0.901,L,1,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",233.348,-0.738031,3,nya,0.079175332,-125.403829125,0.3167481677,-6.7046084384,3.865449164,-7.35368,5.4681,-1.4856987283,55,5.4642374164,5.5572116388,-128.0887904955,-2.7548763408,-11.1376597519,22.6872630463,-25.7577364807,87.44,-0.1220080195,1.8275781389,-0.00602573,1.73938,1
2017-04-27,170427_234802bos,8fd958b0-c8fd-4c20-93a0-36e7e99ce8d8,3,1,547888,593523,19,Groundout,S,127,3.371,1.535,3.72733,-4.74587,CU,11,0.937,L,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Foul Bunt,38.119,-0.0778686,3,nya,0.0912019439,-108.7162734045,0.3675795371,4.3658197495,-6.6643885243,3.72733,-4.74587,-1.5323977077,55,5.4657359899,0.8701028704,-111.4961622175,4.1873337699,5.3853247528,20.4055362091,-40.3996546631,76.08,-0.4105734321,2.4481721815,-0.289675,2.38152,0
2017-04-27,170427_234834bos,3a4391dd-308e-4f0c-a89a-8a53eb21dbdd,3,2,547888,593523,19,Groundout,B,128,3.371,1.535,-6.59918,7.19735,SI,22,0.611,L,1,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,222.493,-2.00515,3,nya,0.0764884642,-129.7572176704,0.306648932,-5.9980989882,5.6757220699,-6.59918,7.19735,-1.6620633478,55,5.2732059906,6.7640381407,-132.6906829622,-6.1882442139,-10.6311308975,25.6627269135,-22.1192553406,90.69,0.2433566696,0.708439426,0.362941,0.612268,1
